word,manmade,shoebox,nletters,freq,nsyllables,concreteness
PEAR,N,Y,4,6,1,634
LEAF,N,Y,4,12,1,593
PATCH,Y,Y,5,13,1,558
SHELL,N,Y,5,22,1,597
WHIP,Y,N,4,19,1,570
SWORD,Y,N,5,7,1,577
LINEN,Y,Y,5,6,2,581
POWDER,N,Y,6,28,2,513
ORGAN,N,Y,5,12,2,596
MAGNET,Y,Y,6,3,2,550
VINE,N,Y,4,4,1,601
TUBE,Y,Y,4,31,1,581
HEEL,N,Y,4,9,1,579
TEMPLE,Y,N,6,38,2,565
CABBAGE,N,Y,7,4,2,611
RAIL,Y,N,4,16,1,540
PODIUM,Y,N,6,1,2,546
TOMATO,N,Y,6,4,3,662
CREATURE,N,N,8,15,2,541
FLOOD,N,N,5,19,1,553
HOOF,N,Y,4,2,1,596
WHISTLE,Y,Y,7,4,2,579
BOULDER,N,N,7,10,2,597
MANSION,Y,N,7,8,2,579
TRUMPET,Y,N,7,7,2,608
CONE,Y,Y,4,13,1,573
PUDDLE,N,N,6,1,2,604
PIER,Y,N,4,3,1,588
CARRIAGE,Y,N,8,11,2,576
SLOPE,N,N,5,19,1,513
FOOTBALL,Y,Y,8,36,2,584
TIGER,N,N,5,7,2,611
CAPSULE,Y,Y,7,5,2,540
FROG,N,Y,4,1,1,619
DECK,Y,N,4,23,1,566
MIRROR,Y,Y,6,27,1,605
MINK,N,N,4,5,1,589
LODGE,Y,N,5,19,1,538
JELLY,Y,Y,5,3,2,560
OATMEAL,Y,Y,7,1,2,552
BUBBLE,N,Y,6,12,2,563
OUTFIT,Y,Y,6,16,2,515
DRILL,Y,Y,5,33,1,516
DITCH,N,N,5,10,1,555
KNUCKLE,Y,Y,7,3,2,586
BASS,N,Y,4,16,1,547
BRACELET,Y,Y,8,1,2,602
SPINACH,N,Y,7,2,2,589
TRAIL,Y,N,5,31,1,511
THUNDER,N,N,7,14,2,547
BRICK,Y,Y,5,18,1,610
MULE,N,N,4,4,1,592
GINGER,N,Y,6,2,2,522
CAVE,N,N,4,9,1,592
PIANO,Y,N,5,38,3,615
CAPE,Y,Y,4,20,1,581
SALOON,Y,N,6,12,2,575
GARBAGE,Y,Y,7,7,2,572
IVORY,N,Y,5,17,3,571
BREEZE,N,N,6,14,1,500
CLOUD,N,N,5,28,1,554
SALAD,Y,Y,5,9,2,595
COAL,N,Y,4,32,1,584
STORM,N,N,5,26,1,527
PONY,N,N,4,10,2,611
BERRY,N,Y,5,9,2,573
HONEY,N,Y,5,25,2,611
BONE,N,Y,4,33,1,588
SHOE,Y,Y,4,14,1,600
MENU,Y,Y,4,5,2,555
FLEA,N,Y,4,2,1,625
DOVE,N,Y,4,4,1,588
DRAIN,Y,Y,5,18,1,591
SHRIMP,N,Y,6,2,1,629
CEREAL,Y,Y,6,17,2,637
BIRD,N,Y,4,31,1,602
